stamp,source,forced_dropout,x,y
18.900000000,gps,False,2.926700859,1.408661253
18.950000000,gps,False,3.080661533,1.455115363
19.006000000,gps,False,2.925330319,1.319404095
19.050000000,gps,False,3.184926537,1.576068188
19.100000000,gps,False,3.175169749,1.646669882
19.171000000,gps,False,3.145729205,1.462508999
19.222000000,gps,False,3.116780303,1.664572232
19.250000000,gps,False,2.940544833,1.715179646
19.303000000,gps,False,3.153107740,1.574305384
19.351000000,gps,False,3.114439938,1.875228513
19.401000000,gps,False,2.928472102,1.907826961
19.450000000,gps,False,3.183235660,1.893067144
19.500000000,gps,False,3.008199539,2.090375721
19.550000000,gps,False,3.043451713,1.731695221
19.600000000,gps,False,3.042304749,1.933139535
19.650000000,gps,False,3.065026941,2.012777621
19.701000000,gps,False,2.948052463,2.131181735
19.750000000,gps,False,3.037180804,2.099871880
19.804000000,gps,False,3.074558879,2.112227080
19.850000000,gps,False,2.933322694,2.079570928
19.900000000,gps,False,2.971294679,2.135075443
19.951000000,gps,False,2.853347155,2.346505404
20.001000000,gps,False,3.030033154,2.292114072
20.050000000,gps,False,2.940936079,2.519541664
20.101000000,gps,False,2.966313838,2.397199339
20.150000000,gps,False,3.015727726,2.619683889
20.204000000,gps,False,2.869610500,2.597762737
20.250000000,gps,False,2.963402736,2.545966445
20.300000000,gps,False,3.093008290,2.673156184
20.351000000,gps,False,3.194308570,2.660626254
20.445000000,gps,False,2.797540897,2.831536817
20.450000000,gps,False,2.797540897,2.831536817
20.507000000,gps,False,3.006501840,2.464983949
20.589000000,gps,False,2.965798053,2.958560233
20.601000000,gps,False,2.965798053,2.958560233
20.650000000,gps,False,2.781364961,2.870898366
20.725000000,gps,False,2.857147431,3.031783751
20.751000000,gps,False,2.741038575,3.122546122
20.800000000,gps,False,2.931973448,2.952515096
20.858000000,gps,False,2.683527282,2.883429438
20.902000000,gps,False,2.810459387,3.158442529
20.951000000,gps,False,2.686064638,3.019486104
21.000000000,gps,False,2.720135696,2.915665359
21.050000000,gps,False,2.656133679,2.872785770
21.100000000,gps,False,2.506593163,2.952023824
21.151000000,gps,False,2.604538331,3.122473591
21.200000000,gps,False,2.500539215,2.964958825
21.250000000,gps,False,2.453635346,3.323084768
21.300000000,gps,False,2.322993929,3.233553298
21.469000000,gps,False,2.285479851,2.933676839
21.500000000,gps,False,2.191511726,2.937287817
21.564000000,gps,False,2.088792501,3.241961586
21.601000000,gps,False,2.162697694,3.132782157
21.652000000,gps,False,1.888019052,3.184584297
21.700000000,gps,False,1.981298796,3.153066404
21.750000000,gps,False,1.998874008,3.108356631
21.801000000,gps,False,1.838141112,2.976910031
21.850000000,gps,False,1.780715222,2.871669258
21.902000000,gps,False,1.860175239,2.889150100
21.950000000,gps,False,1.745625227,3.167460614
22.000000000,gps,False,1.580977059,3.015557905
22.050000000,gps,False,1.708323553,3.020519540
22.100000000,gps,False,1.706713899,3.177193061
22.150000000,gps,False,1.637681581,2.989630538
22.200000000,gps,False,1.684316599,2.849456660
22.250000000,gps,False,1.407744265,2.825543903
22.300000000,gps,False,1.557762171,3.033983087
22.350000000,gps,False,1.369460789,3.008938975
22.400000000,gps,False,1.251307692,2.964252734
22.450000000,gps,False,1.396099448,2.924190646
22.500000000,gps,False,1.226731607,3.123462494
22.551000000,gps,False,1.226619044,2.949059254
22.600000000,gps,False,1.280347521,2.982803779
22.652000000,gps,False,1.103262113,3.001734704
22.730000000,gps,False,0.919786736,2.955457699
22.750000000,gps,False,0.931334602,3.116574591
22.824000000,gps,False,0.858283815,3.030939203
22.850000000,gps,False,0.956504161,3.179929837
22.902000000,gps,False,0.961851709,3.060010024
