stamp,source,gps_available,forced_dropout,model_loaded,model_ready,model_samples,ann_x,ann_y,output_x,output_y,odom_x,odom_y,gps_x,gps_y,origin_source,origin_x,origin_y
9.100000000,gps,True,False,True,True,188,3.197282639,0.912014010,3.015752979,0.767192533,3.661793502,0.753616577,3.015752979,0.767192533,first_gps,0.062068549,0.034649841
9.150000000,gps,True,False,True,True,188,3.223050591,0.998336117,3.127390591,0.799966735,3.668569042,0.815021402,3.127390591,0.799966735,first_gps,0.062068549,0.034649841
9.200000000,gps,True,False,True,True,188,3.188264792,0.999279269,3.186952364,1.042646892,3.675267749,0.876462641,3.186952364,1.042646892,first_gps,0.062068549,0.034649841
9.251000000,gps,True,False,True,True,188,3.146394299,1.063157521,2.973623999,0.899371376,3.679656965,0.917448481,2.973623999,0.899371376,first_gps,0.062068549,0.034649841
9.300000000,gps,True,False,True,True,188,3.177038345,1.090169100,2.989422248,0.780913419,3.684046844,0.958406727,2.989422248,0.780913419,first_gps,0.062068549,0.034649841
9.350000000,gps,True,False,True,True,188,3.176005238,1.047330823,3.178068342,0.937210492,3.690580566,1.019895424,3.178068342,0.937210492,first_gps,0.062068549,0.034649841
9.400000000,gps,True,False,True,True,188,3.146021327,1.162115209,3.129148007,0.909350119,3.694903625,1.060862687,3.129148007,0.909350119,first_gps,0.062068549,0.034649841
9.450000000,gps,True,False,True,True,188,3.113536934,1.238911576,3.125439505,1.193032851,3.701394828,1.122338505,3.125439505,1.193032851,first_gps,0.062068549,0.034649841
9.500000000,gps,True,False,True,True,188,3.083124297,1.262350894,3.239167937,1.213840155,3.707965056,1.183786655,3.239167937,1.213840155,first_gps,0.062068549,0.034649841
9.550000000,gps,True,False,True,True,188,3.145737590,1.324783953,2.902342278,1.202558991,3.712434072,1.224760113,2.902342278,1.202558991,first_gps,0.062068549,0.034649841
9.600000000,gps,True,False,True,True,188,3.067218777,1.343636126,3.024984602,1.350687531,3.719150837,1.286221863,3.024984602,1.350687531,first_gps,0.062068549,0.034649841
9.650000000,gps,True,False,True,True,188,3.056521228,1.414698552,2.966757323,1.241520206,3.723585942,1.327181520,2.966757323,1.241520206,first_gps,0.062068549,0.034649841
9.700000000,gps,True,False,True,True,188,3.083819144,1.432884447,3.020778521,1.216088958,3.728008206,1.368130757,3.020778521,1.216088958,first_gps,0.062068549,0.034649841
9.753000000,gps,True,False,True,True,188,3.048076760,1.409047859,3.175053391,1.185858450,3.734719782,1.429560397,3.175053391,1.185858450,first_gps,0.062068549,0.034649841
9.800000000,gps,True,False,True,True,188,3.045720688,1.486374299,2.936319104,1.369534638,3.739241390,1.470561335,2.936319104,1.369534638,first_gps,0.062068549,0.034649841
9.899000000,gps,True,False,True,True,188,2.991443185,1.590789565,3.118349792,1.351846173,3.750534209,1.572926088,3.118349792,1.351846173,first_gps,0.062068549,0.034649841
9.900000000,gps,True,False,True,True,188,2.991443185,1.590789565,3.118349792,1.351846173,3.750534209,1.572926088,3.118349792,1.351846173,first_gps,0.062068549,0.034649841
